days,city_population,temperature,fuel_price,n_deliveries,is_friday,days_until_eid,demand_interaction,weather_disruption_flag,supply_chain_cost
1,4260672,29.406789442955542,3.8110641985315654,25.0,0,29,106516800.0,0,15054.262875187182
2,4260672,21.5754459430774,3.8792851570465983,15.0,0,28,63910080.0,0,10765.779509471138
3,4260672,42.63086124900955,3.9615234121944187,89.0,0,27,379199808.0,1,42350.92635027553
4,4260672,44.51705273311391,2.9049462067472938,47.0,0,26,200251584.0,1,24928.852752282266
5,4260672,34.51358362506676,3.9223812289838356,61.5,1,25,262031328.0,0,31402.627141982564
6,4260672,36.889988119278605,4.880715059189713,13.0,0,24,55388736.0,0,10496.730759659431
7,4260672,31.260599382609627,2.4414501115910077,71.0,0,23,302507712.0,0,35303.125447246195
8,4260672,23.05012916598068,3.168965115954677,15.0,0,22,63910080.0,0,10754.71863437868
9,4260672,41.66728118159483,3.985664306957352,33.0,0,21,140602176.0,1,18977.314224575377
10,4260672,43.760305517515654,2.6856941407872608,89.0,0,20,379199808.0,1,43014.499301883065
11,4260672,33.90762286917943,4.322898627479127,25.0,0,19,106516800.0,0,15032.508573553816
12,4260672,31.594507268629762,2.6570638900776498,100.0,1,18,426067200.0,0,47467.96005335537
13,4260672,25.95772341169203,2.858616179817112,57.0,0,17,242858304.0,0,29245.5428295849
14,4260672,24.981060448490737,3.816644873814315,53.0,0,16,225815616.0,0,27655.14684476708
15,4260672,29.238176499610802,4.96920505483851,11.0,0,15,46867392.0,0,8681.916557388426
16,4260672,24.82096196222323,5.578083685571199,25.0,0,14,106516800.0,0,14711.287836962669
17,4260672,32.9708172786837,4.454093484133807,23.0,0,13,97995456.0,0,14491.161977569382
18,4260672,26.676150886644393,4.835845109016603,33.0,0,12,140602176.0,0,18255.902762815072
19,4260672,41.09796820597147,2.5353306178273347,45.0,1,11,191730240.0,1,24052.20348709628
20,4260672,44.82144303548174,2.4977617728405512,96.0,0,10,409024512.0,1,45859.840175591395
21,4260672,21.466856079574,3.6912315538411122,42.0,0,9,178948224.0,0,22116.956282983152
22,4260672,26.63523448341473,4.893028096282308,83.0,0,8,353635776.0,0,40513.35692450683
23,4260672,34.290981009369794,4.7969328687223545,94.0,0,7,400503168.0,0,44735.57107354803
24,4260672,28.386171580038855,4.421896924968606,21.0,0,6,89474112.0,0,13337.013600632341
25,4260672,35.58648243101401,3.00525154733253,57.0,0,5,242858304.0,0,28616.556122940634
26,4260672,27.91298592818954,3.730130601215245,72.0,1,4,306768384.0,0,35740.729673118876
27,4260672,28.299911862792833,4.1231131955607285,100.0,0,3,426067200.0,0,47489.83896360274
28,4260672,44.84312503934669,4.973714543064007,60.0,0,2,255640320.0,1,30211.669282191993
29,4260672,24.361891141377527,3.0124369446907995,30.0,0,1,127820160.0,0,17266.90421329063
30,4260672,21.226013199327802,4.4026079859741625,66.0,0,0,281204352.0,0,33284.66581496313
31,7443371,43.26972045722604,2.9516412133261545,53.0,0,29,394498663.0,1,47016.11887003783
32,7443371,34.78698595670209,3.5407239509635353,78.0,0,28,580582938.0,0,50000.0
33,7443371,37.38054567646277,3.9622955419998185,99.0,0,27,736893729.0,0,50000.0
34,7443371,43.94359682100904,3.629799848003283,60.0,0,26,446602260.0,1,50000.0
35,7443371,34.62259676799657,4.697336333038004,87.0,1,25,647573277.0,0,50000.0
36,7443371,26.849880398601684,2.4171975883616814,87.0,0,24,647573277.0,1,50000.0
37,7443371,29.873238974265483,3.518337132253407,79.0,0,23,588026309.0,0,50000.0
38,7443371,38.19803786860685,3.3326179270483145,90.0,0,22,669903390.0,0,50000.0
39,7443371,35.10233183518048,4.477749472735238,63.0,0,21,468932373.0,0,50000.0
40,7443371,42.118347193073504,3.5991473977730304,22.0,0,20,163754162.0,1,24217.408176466008
41,7443371,37.54028533560161,4.624175338502278,14.0,0,19,104207194.0,0,18001.98754308012
42,7443371,35.03594227877391,4.095533226187971,84.0,1,18,625243164.0,0,50000.0
43,7443371,27.463922764003357,3.820389322406071,76.0,0,17,565696196.0,0,50000.0
44,7443371,25.23839770134005,3.1796536806177844,32.0,0,16,238187872.0,0,31660.687335642226
45,7443371,22.034445796151992,2.9996821582662347,55.0,0,15,409385405.0,1,48366.963273484944
46,7443371,38.25745009261785,3.8321519753240905,62.0,0,14,461489002.0,0,50000.0
47,7443371,25.38672267303742,2.8243931783763765,20.0,0,13,148867420.0,0,22851.11268305481
48,7443371,42.28340485477409,3.2642783907934922,47.0,0,12,349838437.0,1,42686.471013065326
49,7443371,40.1982297227839,3.6008525320208373,100.0,1,11,744337100.0,1,50000.0
50,7443371,23.67503959237444,3.3614858232494993,24.0,0,10,178640904.0,0,25468.88204532527
51,7443371,27.30015768121746,4.201882916001611,95.0,0,9,707120245.0,0,50000.0
52,7443371,24.372911872304723,4.01021927107373,55.0,0,8,409385405.0,0,48486.38055102273
53,7443371,20.2916956876154,2.632143944786963,17.0,0,7,126537307.0,0,20030.067762232236
54,7443371,33.703417599196285,4.88202194112132,69.0,0,6,513592599.0,0,50000.0
